X1,ENHO (375704),TDRD7 (23424),SEMA4F (10505),NAA38 (84316),SUPT20H (55578),PSD (5662),ASB9 (140462),SRSF9 (8683),KIF15 (56992),TSGA10 (80705),ADCY1 (107),PRRT1 (80863),SLF2 (55719),MCIDAS (345643),ZNF816 (125893),MEX3D (399664),PHF24 (23349),ECD (11319),ZNF124 (7678),DOCK2 (1794),IL32 (9235),P2RY10 (27334),SHD (56961),PIK3R1 (5295),HMBOX1 (79618),HS3ST3B1 (9953),CLGN (1047),VAPA (9218),CDKAL1 (54901),AGPAT5 (55326),CLSTN3 (9746),ARHGAP12 (94134),DTNA (1837),UNC119 (9094),GALK1 (2584),AMPH (273),PPP1R15B (84919),RIPPLY2 (134701),CDKN1B (1027),PAK5 (57144),PIP5K1C (23396),RCN2 (5955),AKAP8 (10270),PLPPR4 (9890),CCDC25 (55246),NCLN (56926),C1orf43 (25912),ZNF157 (7712),NUP50 (10762),PLIN2 (123),OR5L2 (26338),KRT5 (3852),NCS1 (23413),LRFN2 (57497),BCAS1 (8537),ATP5MD (84833),TMEM18 (129787),MAGEB1 (4112),KCNK4 (50801),ADORA2A (135),RINT1 (60561),UBTF (7343),FSCB (84075),CYP2D6 (1565),BCAN (63827),PRAMEF33 (645382),PRAMEF7 (441871),HIST1H2BL (8340),TP53I3 (9540),INPP5D (3635),SERINC1 (57515),CDHR5 (53841),TMEM229B (161145),NUDT15 (55270),CCDC112 (153733),NKAP (79576),SNRPD1 (6632),OBP2B (29989),ARFIP2 (23647),HIST1H4F (8361),ARRDC2 (27106),SNRPD3 (6634),RHBDD2 (57414),TREX2 (11219),AHRR (57491),GJC3 (349149),OR4C3 (256144),OR14J1 (442191),CCDC136 (64753),RNF180 (285671),RBBP5 (5929),NDUFAF3 (25915),PRSS1 (5644),TEX36 (387718),VLDLR (7436),RTKN (6242),COMT (1312),NIPAL3 (57185),KRAS (3845),EGFR (1956)
ACH-001097,0.545968369105293,1.4489009511451298,1.14404636961671,7.07777707328828,3.85399564717639,1.3103401206121499,0,7.20398416585599,3.7246502717329704,2.6392321632492797,0,0.0143552929770701,2.77399632511117,0,0,1.6599245584023798,0,3.30742852519225,2.08406426478847,4.9713136240688804,10.1745512320835,2.34766565630097,0.070389327891398,1.53605290024021,2.45154083301783,2.78240856492737,0,5.10852445677817,1.9297909977186,2.26303440583379,4.715893370547611,2.16671544496642,0,4.93168305705981,4.54225804976692,0,4.1586601753465,0,3.86393845042397,0,2.86789646399265,4.693765712217781,4.00450139223494,0,3.72027846523333,5.89190518821193,6.993447932331481,0,4.17951105027151,0.0285691521967709,0,0,4.589763486984981,0,0.0143552929770701,8.82896155231732,3.58135124716878,0,0,4.38750040648098,3.8708578643637597,4.93498820178348,0,0.21412480535284698,0.25096157353321896,0,0,1.11103131238874,0.21412480535284698,4.15380533607904,3.3575520046180802,0.0285691521967709,0.8399595874895319,3.53231695933277,0,2.34198574722862,7.970163424661,0,4.36106648879432,0.286881147788162,4.9676297534662,6.82425869660337,6.15400794755902,0.263034405833794,0.31034012061215,0.176322772640463,0,0,3.62527048937469,0,2.66902676550963,5.861459166361509,0,0,0,0.0426443374084937,5.50112063427539,2.07724299893246,1.89917563048051,0
ACH-001636,0,2.66220549965362,0.8875252707415869,6.00427665587793,3.3103401206121497,0.37851162325373,0,7.76447355099267,4.43429461795993,3.60762622084549,0.0143552929770701,0.137503523749935,3.71259578044703,0.137503523749935,2.43028527297778,1.23266075679027,0,3.86690797814317,2.6484654430273102,4.08831123588866,0,1.09085343045111,0,2.58255600301406,3.94860084749336,0,1.77399632511117,6.663059923747821,2.57773093149008,4.26153081524341,3.1699250014423104,2.88362081628567,0,2.6369145803558798,3.9011082430145096,0,4.6164753287828795,0,3.6322682154995096,0,1.5058909297299599,5.183089460640759,3.6993295256731598,0,5.0992952043377695,3.99276843076892,7.0698525111257995,0.37851162325373,4.68144926531496,0.137503523749935,0,0,0,0,0.18903382439001698,9.56187979656388,4.68369645430652,0,0.070389327891398,3.2898344651775098,4.75968848842729,5.792074461928871,0,0.575312330687437,0,0,0,1.5897634869849802,2.4114262457264704,4.13914201914569,3.1570437101455804,0.0565835283663675,0.321928094887362,4.57712666130705,3.4905701304462005,2.9429835981871,8.13170265342207,0,4.79597469420667,0,4.00180224263399,7.795974694206669,4.5837597536395,0.8399595874895319,0.15055967657538097,0.0285691521967709,0,0,4.05658352836637,0,2.54596836910529,5.95070169008901,0,0,2.67581593117227,0.0565835283663675,6.06458110919057,2.1570437101455804,3.46988597627446,0
ACH-001804,0.526068811667588,2.3533232911629,2.8459917706645697,6.14934066928622,3.59454854955035,0.622930350920177,0.18903382439001698,6.9386386584728,3.1921941652833397,0.948600847493356,2.75274859140713,0.176322772640463,3.46858331700683,0,2.45154083301783,3.01613970265525,0.0143552929770701,4.47248777146274,1.3561438102252799,0.604071323668861,2.35614381022528,0,0,2.82984955984469,2.29278174922785,1.91456452349394,4.16912328147676,7.43945691887603,2.60644222813161,3.99004721957379,2.07382023329167,4.766065051474951,2.58255600301406,3.6016965164809602,4.0071955014042,2.01792190799726,3.87184364850932,0,4.24640808724638,0,3.9212458885855903,6.55596949459953,3.37295209791183,0.9560566524124029,5.924575003392731,4.17871464117544,7.247357916131099,0,4.77663042305105,7.38085063755321,0,0,4.936873461824231,0,0,9.490309388531099,3.8962718488073795,0,0,0.333423733725192,4.404630684217611,5.20633064787105,0,0.21412480535284698,0.0143552929770701,0,0,0.704871964456353,5.87405920314115,0,7.52403232340592,0,0.0285691521967709,3.88459792099006,3.32768736417605,2.84398384404833,6.741332148787991,0,4.99774402605963,0,3.17951105027151,6.86455760628125,5.4185273021016105,0,4.17312743348066,0,0,0,0.7739963251111729,0,2.8052924556007097,5.376776571882981,0,0.0976107966264223,2.24184018356467,3.35895882583233,7.16721740907882,4.09423606984577,3.99638874644762,4.129283016944971
ACH-000534,0.613531652917927,1.4222330006830501,1.5993177936982301,6.913368159679719,5.484138131201671,1.92599941855622,0.15055967657538097,7.6876206320849,3.80632405739003,3.60880924267552,0.0565835283663675,0.0840642647884745,3.4235781709818,0.7311832415721999,1.6690267655096298,1.16349873228288,0,3.8816646193203503,3.1043366598147406,6.17552460108987,1.3561438102252799,0.20163386116964999,0,3.37851162325373,4.80683958179819,0.0285691521967709,1.22650852980868,6.8278190246173205,2.57288966842058,5.21800615028443,3.71808758396052,3.6427015718332303,0.34482849699744106,4.29572302453997,4.798050514767509,0.0840642647884745,4.38750040648098,0,5.565901766806671,0.0285691521967709,3.08236196955747,3.26453643099903,3.35614381022528,0,6.4849437010706605,4.37989816352469,7.412188747160551,0,4.55397480823747,4.78345665436024,0,0.9927684307689241,0.238786859587116,0,0.475084882948783,8.04176864995163,4.57712666130705,0,0.45417589318580204,3.83491342970104,3.3219280948873595,6.04417551263921,0,1.6276068381296498,0,0,0,0,1.26903314645524,6.55688918972687,5.439955517478159,0.0565835283663675,1.26903314645524,2.8698714061777095,0.613531652917927,2.78450398292957,6.26978123827438,0,4.5933537709803,0,3.79181407116183,7.223326006619019,3.52230689287139,0.659924558402378,2.39780296186249,0,0,0,2.71808758396052,0,3.62760683812965,6.90412277677229,0,0,3.8943327422776903,0.8155754288625731,5.70238050161552,4.55028504908841,3.2234225499349396,0.650764559116902
ACH-001498,0,3.16349873228288,0.963474123974886,7.0222568322183,4.496334513417111,0.8399595874895319,0,7.10402208445116,3.5197934862410998,3.33342373372519,0,0.070389327891398,3.11603199344711,0.6415460290875239,2.4329594072761096,0.970853654340484,0.0285691521967709,4.1723274916576205,2.8318772411916697,6.08236196955747,9.92764464734627,4.1168637576909,0,5.02945288578697,2.39231742277876,0,1.49569516262407,6.6192662684891905,2.89141918684608,3.7136958148433594,2.0426443374084897,2.4541758931857998,0,5.81557542886257,2.38404980679516,0,5.021035479511361,0,4.26153081524341,0,3.17791779219584,3.4892860226258797,3.3617683594191496,0,5.30158764660319,4.02856915219677,6.67129337248158,0.0426443374084937,4.92409988564074,6.190614860209499,0,0.22650852980868,0,0,1.7355221772965401,9.2349610948395,4.452858964713809,0,0,4.40735275114004,5.00045077177086,5.6211727526834405,0,0.40053792958372897,0.0976107966264223,0,0,1.1505596765753798,1.30451104180995,5.73063995591679,5.09550251765867,0.25096157353321896,0.713695814843359,4.31686980506433,2.7970129778361406,2.43028527297778,7.7423431238410805,0,4.78816365703777,1.43295940727611,3.50207595604579,8.376125389276169,5.154615611326889,0.27500704749987,3.8884997355141198,0,0,0,1.31614574229336,1.95233356636969,3.4114262457264704,4.96947286459633,0,0,0.25096157353321896,0.704871964456353,5.08491465976794,3.33771109212829,5.12598165385472,0
ACH-000742,0,3.01970191444255,3.7213726594768195,6.66916853282079,4.42894634476948,1.44360665147561,0.111031312388744,7.0601554952546,2.0036022366802,1.53605290024021,0.0565835283663675,0.963474123974886,2.70487196445635,0,1.14404636961671,3.43562859405209,0.0143552929770701,4.23802251782572,0.9560566524124029,2.23572705983806,2.6158870739160602,0,0,3.28095631383106,2.3334237337251897,2.07382023329167,3.2464080872463796,6.8266755913869295,2.05658352836637,2.8933622107638697,3.83895176695194,3.7538184431735404,4.01703108052784,4.619413010597941,4.49185309632967,2.6667565918847997,4.3240905160379794,0.15055967657538097,2.93734439215023,0,4.9518675043269,6.36176835941915,3.3673710656485296,2.07382023329167,5.31940116685832,6.189824558880019,7.288727679514571,0,4.46793154602629,7.04886827268732,0,1.23266075679027,5.53294028837287,0,0.111031312388744,9.38698334236665,4.5453506448223004,0.0285691521967709,0,0.16349873228288,3.85798099512757,4.99095486039699,0.0143552929770701,0.0426443374084937,0.18903382439001698,0,0,0,5.551208373946099,0.34482849699744106,7.77254551862151,0,0.464668267003444,4.1151997493854395,4.0678107837896205,1.86393845042397,5.63226821549951,0.0976107966264223,5.51696065989882,0,1.9068905956085198,7.13493964349298,4.8669079781431694,0,3.0583164955908195,0,0,0,2.22958792274065,0.53605290024021,3.0496307677246,6.29884157311203,0.124328135002202,0,1.9855004303048798,3.03913839390696,7.7009251588304695,7.02735313393009,3.79285535236249,4.71699089440494
ACH-002018,1.43829285157915,3.8052924556007097,3.1890338243900196,6.7657999232851305,4.68873986801449,0.485426827170242,3.13750352374994,6.959190550109099,3.3305584000307995,1.99638874644762,1.36737106564853,0.5058909297299571,3.2615308152434097,0.333423733725192,2.66448284036468,1.5558161550616398,0.16349873228288,3.8855743643714304,2.27202318906105,0,0.0565835283663675,0,0,2.8278190246173196,2.97819562968165,0,3.07724299893246,6.8897168916150795,3.4154882710497003,4.51475349843975,0.526068811667588,3.01435529297707,0.40053792958372897,3.75702324650746,3.71699089440494,0.070389327891398,3.46205231879643,0,4.19613488076516,0,2.2509615735332202,6.97899639608894,2.72027846523333,0,4.86294724802092,4.77820857639809,8.39947019981661,0,5.02281165091563,4.65821148275179,0,0,2.95046841415012,0,0.0143552929770701,9.29468966579844,4.12598165385472,0,0,0.823749360308273,4.06177619758669,5.06953032516231,0.0285691521967709,0.15055967657538097,2.0496307677246,0,0,1.5310694927259498,3.5716768099709304,0,5.65906827484323,0,3.50080205305716,3.90881290773955,3.5680321047712797,2.2509615735332202,7.476462699165139,0,4.04701481951759,0,2.69376571221778,8.12375929991589,5.312882955284361,0.516015147003665,1.30451104180995,0.6959938131099,0,0,0.863938450423971,0.0565835283663675,3.1602748314085902,5.89409017060148,0,0,5.02591469875079,3.2172307162206697,6.31179371775365,2.96532254836725,4.06004738366994,0
ACH-000836,0,2.6392321632492797,2.72900887033786,6.50191677967437,5.0183671155431195,1.6959938131098997,0.879705766282288,7.56163163037584,4.50462039240355,2.2898344651775098,0.0285691521967709,1.09761079662642,4.399854673572429,1.18903382439002,0.0565835283663675,2.57773093149008,0,4.2433644256936605,0.8559896973084808,0.6780719051126379,2.86591881455221,0.0840642647884745,0,3.86393845042397,2.19219416528334,0.0565835283663675,0.16349873228288,8.74025299396188,2.9541963103868802,4.834407841807,3.94204525991605,4.08406426478847,0.40053792958372897,3.9174317553901,4.31179371775365,0.0143552929770701,4.12598165385472,0,3.81659970653491,0,2.50842865253186,6.682011390800691,4.22496636500027,0.0426443374084937,4.7009944941682695,5.33485426933163,7.01580529391335,0.22650852980868,5.792074461928871,0.464668267003444,0,9.5505736515901,4.42559357765306,0,0.0976107966264223,8.15704371014558,4.98139603197215,3.4541758931857998,0,0.7739963251111729,3.98823022306046,5.23802251782572,0,0.8073549220576041,0.713695814843359,0,0,0,4.9882302230604605,2.0143552929770703,5.20163386116965,0,1.02856915219677,5.74872956650074,3.38543103719352,2.03913839390696,7.5926812729560496,0,5.29645740737124,0,2.26303440583379,8.16017396833022,4.68873986801449,0.0565835283663675,2.3103401206121497,1.11103131238874,0,0,1.92599941855622,0,3.6158870739160602,5.20554891117303,0,0.704871964456353,0.25096157353321896,4.5260688116675905,7.356848079236519,4.25701061820602,3.68144926531496,6.331096083759331
ACH-000545,0.0976107966264223,3.82273014794452,3.6564963705535,4.916954278953219,5.1243281350022,1.18269229751619,0,6.93663793900257,4.43162295971329,1.76128527336162,0.0976107966264223,1.23878685958712,4.509062386361901,1.4168397419128302,2.87381319835909,1.7441610955704099,0,4.3778178530836405,2.66220549965362,1.89530262133331,4.12598165385472,0.124328135002202,0,3.40599235967584,4.25474519762921,0.137503523749935,5.45220004940622,6.311430455749741,3,5.28429202639431,5.572586549385769,3.76977173924945,4.21800615028443,5.166313747889929,3.13093086982645,0.0976107966264223,5.4121040446775694,0,4.20789285164133,0,2.14404636961671,6.263785613890799,3.5185351389821804,0.0426443374084937,4.9439213265534905,5.261906859828071,7.53114749099813,0,5.52262076104208,0.9411063109464308,0,8.849498931720179,2.51349074558812,0,1.15704371014558,8.35790383855249,5.67185946824748,0,0,1.25096157353322,5.41278152533848,5.23112515787905,0,2.28095631383106,1.09085343045111,0,0,0,3.0408924306469,0.8399595874895319,6.70307300632852,3.3059705209843906,1.18903382439002,3.38818953715608,2.87381319835909,1.92599941855622,6.00697118436404,0,5.02635744696384,0,2.8459917706645697,7.08841725014751,6.21800615028443,0,1.33913738491959,1.3617683594191499,0,0,2.0703893278914,1.13093086982645,3.2464080872463796,5.27314285930808,0.22650852980868,0,4.46466826700344,5.15177765473205,6.46842040186455,4.5777309314900805,4.15623479785027,7.37712374912949
ACH-001617,0.0976107966264223,2.25398926623079,1.4276061727818998,6.86752586116297,5.01346225980656,2.62527048937469,0,7.799411150615281,5.17871464117544,2.58496250072116,0,1.0143552929770698,4.38474058729238,0.0285691521967709,2.76341157447001,1.8678964639926499,0.0143552929770701,4.3426969599819305,2.81147103052984,4.83995958748953,0.55581615506164,3.8589756142920204,0.0143552929770701,3.28835856219366,4.04439411935845,1.61353165291793,3.24488705912353,8.03880927447109,3.21256933885081,4.930264245235019,3.0600473836699402,2.46205231879643,0,3.38956681176273,5.158256228811339,0.0285691521967709,5.93922657772821,0,6.423746229114769,0,2.3103401206121497,6.25625587320273,4.1906148602095,0,5.835166157220451,4.48864353985378,6.8266755913869295,0.545968369105293,5.49984588708321,3.3743439890385,0,0,0,0,0.111031312388744,9.29266673387793,3.8268026842858305,0,0.22650852980868,4.74254523386605,4.32481060342048,6.12060077384517,0,1.3448284969974398,0.0565835283663675,0,0,0.9560566524124029,0.43295940727610605,6.1503565802083395,5.22110372536788,0.0143552929770701,1.91456452349394,4.87627136055013,4.74738739965272,3.95698592461258,8.74819284958946,0,5.23572705983806,0,4.92552476974757,8.01986867750447,5.37538702682888,0.516015147003665,0.55581615506164,0.0565835283663675,0,0,2.6345932684457596,0,3.3868109464722203,5.191799501065081,0.15055967657538097,0,0,1.9634741239748899,6.14954390870909,2.7136958148433594,4.984133594540981,0.176322772640463
